广西,#genre#
TVBS精彩台,http://125.227.22.96:4022/udp/230.1.2.35:11111
人间卫视,http://125.227.22.96:4022/udp/224.1.4.89:11111
人间卫视,http://125.227.22.96:4022/udp/230.1.2.193:11111
三立财经新闻台,http://125.227.22.96:4022/udp/230.1.2.191:11111
三立财经新闻台,http://125.227.22.96:4022/udp/230.1.2.21:11111
三立综合台,http://125.227.22.96:4022/udp/230.1.2.192:11111
三立综合台,http://125.227.22.96:4022/udp/230.1.2.22:11111
中视,http://125.227.22.96:4022/udp/224.1.4.10:11111
中视,http://125.227.22.96:4022/udp/230.1.2.228:11111
公视,http://125.227.22.96:4022/udp/224.1.4.53:11111
公视,http://125.227.22.96:4022/udp/230.1.2.230:11111
台视,http://125.227.22.96:4022/udp/224.1.4.8:11111
台视,http://125.227.22.96:4022/udp/230.1.2.227:11111
民视,http://125.227.22.96:4022/udp/224.1.4.6:11111
民视,http://125.227.22.96:4022/udp/230.1.2.226:11111
华视,http://125.227.22.96:4022/udp/224.1.4.12:11111
华视,http://125.227.22.96:4022/udp/230.1.2.229:11111
客家电视,http://125.227.22.96:4022/udp/224.1.4.17:11111
客家电视,http://125.227.22.96:4022/udp/224.1.4.201:11111
